Source:,C:\Users\Griffin\Dropbox (Dropbox @RU)\Precision Instrumentation Technologies\Rockefeller Labs\Heintz Lab (PIT)\Tatz\HEI-2300 Photobleaching Device for Brain Imaging\100mm_LED_Panel\100mm_LED_Panel.kicad_sch,,,,,,,,
Date:,1/24/2024 17:04,,,,,,,,
Tool:,Eeschema (6.0.7),,,,,,,,
Generator:,C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,
Component Count:,97,,,,,,,,
,,,,,,,,,
Components,,,,,,,,,
,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,DigiKey P/N,Manufacturer,Part Num
1,8,C1-C8,0.1u,Device:C_Polarized,Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A,~,399-3676-1-ND,KEMET,T491A104K035AT
2,64,D1-D64,LED,Device:LED,Library:LED_Luminus_MP-3030-1100_3.0x3.0mm_Thermal-Vias,~,1214-MP-3030-120H-30-80CT-ND,Luminus Devices Inc.,MP-3030-120H-30-80
3,1,F1,Polyfuse,Device:Polyfuse,Library:Fuse_2018_5045Metric_Pad_HandSolder,~,DECASMDC050F/60-2CT-ND,Littelfuse Inc.,DECASMDC050F/60-2
4,4,J1-J4,HERM-4-PIN,100mm_LED_Panel:HERM-4-PIN,Library:TE 2213611-2 4 Position Mini-HERM,,A124894CT-ND,TE Connectivity AMP Connectors,2213611-2
5,4,J5-J12,N/A,Connector_Generic:Conn_01x01,Library:Faston .25 Tab,~,A29938CT-ND,TE Connectivity AMP Connectors,63824-1
6,8,R1-R8,39R,Device:R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,~,541-10632-1-ND,Vishay Dale,RCS120639R0FKEA
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Collated Components:,,,,,,,,,
